qc_id,oznaka,vrsta,plan-post,prioritet,vlasn_zem,icon_url
"93",,solarno,"0","0",,
"94",,električno,"0","0",,
"98",,solarno,"0","0",,
"101",,solarno,"0","0",,
"102",,solarno,"0","0",,
"103",,solarno,"0","0",,
"107",,električno,"0","0",,
"108",,električno,"0","0",,
"111",,električno,"0","0",,
"112",,električno,"0","0",,
"113",,električno,"0","0",,
"114",,solarno,"0","0",,
"116",,solarno,"0","0",,
"126",,električno,"0","0",,
"127",,električno,"0","0",,
"133",,električno,"0","0",,
"137",,solarno,"0","0",,
"138",,solarno,"0","0","1",
"139",,solarno,"0","0","1",
"140",,solarno,"0","0","1",
"142",,električno,"0","0","1",
"143",,solarno,"0","0","2",
"144",,solarno,"0","0","2",
"145",,solarno,"0","0","2",
"146",,solarno,"0","0","3",
"147",,električno,"0","0","1",
"148",,električno,"0","0","1",
"149",,električno,"0","0","1",
"150",,električno,"0","0","1",
"151",,električno,"0","0","1",
"152",,električno,"0","0","1",
"153",,električno,"0","0","1",
"169",,solarno,"0","0",,
"170",,solarno,"0","0",,
"171",,solarno,"0","0",,
"172",,solarno,"0","0",,
"173",,solarno,"0","0",,
"175",,solarno,"0","0",,
"176",,solarno,"0","0",,
"177",,solarno,"0","0",,
"178",,solarno,"0","0",,
"179",,solarno,"0","0",,
"180",,solarno,"0","0",,
"181",,solarno,"0","0",,
"182",,solarno,"0","0",,
"183",,solarno,"0","0",,
"184",,solarno,"0","0",,
"185",,solarno,"0","0",,
"186",,solarno,"0","0",,
"187",,solarno,"0","0",,
"188",,solarno,"0","0",,
"189",,solarno,"0","0",,
"190",,solarno,"0","0",,
"191",,solarno,"0","0",,
"192",,solarno,"0","0",,
"193",,solarno,"0","0",,
"194",,solarno,"0","0",,
"195",,električno,"0","0",,
"196",,električno,"0","0",,
"197",,električno,"0","0",,
"198",,električno,"0","0",,
"199",,električno,"0","0",,
"200",,električno,"0","0",,
"201",,električno,"0","0",,
"202",,električno,"0","0",,
"203",,solarno,"0","0",,
"204",,solarno,"0","0",,
"205",,solarno,"0","0",,
"206",,solarno,"0","0",,
"207",,solarno,"0","0","2",
"208",,solarno,"0","0","2",
"209",,solarno,"0","0","2",
"210",,solarno,"0","0",,
"211",,solarno,"0","0","3",
"0",JR-1-8,električno,"1","0","2",./0.png
"1",JR-1-9,električno,"1","0","2",./0.png
"2",JR-1-11,električno,"1","0","2",./0.png
"3",JR-3-4,električno,"1","0","1",./0.png
"4",JR-3-2,električno,"1","0","1",./0.png
"5",JR-3-1,električno,"1","0","1",./0.png
"6",JR-3-6,električno,"1","0","1",./0.png
"7",JR-1-16,električno,"1","0","1",./0.png
"8",JR-1-15,električno,"1","0","1",./0.png
"9",JR-1-13,električno,"1","0","2",./0.png
"174",,električno,"1","0",,./0.png
"10",JR-1-12,električno,"1","0","2",./0.png
"11",JR-1-14,električno,"1","0","2",./0.png
"12",JR-2-4,električno,"1","0","1",./0.png
"13",JR-2-5,električno,"1","0","1",./0.png
"14",JR-2-6,električno,"1","0","1",./0.png
"15",JR-2-11,električno,"1","0","1",./0.png
"16",JR-3-3,električno,"1","0","1",./0.png
"17",JR-2-9,električno,"1","0","1",./0.png
"18",JR-2-10,električno,"1","0","1",./0.png
"19",JR-2-8,električno,"1","0","1",./0.png
"20",JR-2-7,električno,"1","0","1",./0.png
"21",JR-2-3,električno,"1","0","1",./0.png
"22",JR-2-2,električno,"1","0","1",./0.png
"23",JR-1-17,električno,"1","0","1",./0.png
"24",JR-2-1,električno,"1","0","1",./0.png
"25",JR-6-2,električno,"1","0","1",./0.png
"26",JR-6-3,električno,"1","0","3",./0.png
"27",JR-6-4,električno,"1","0","3",./0.png
"28",JR-6-5,električno,"1","0","3",./0.png
"29",JR-6-6,električno,"1","0","3",./0.png
"30",JR-3-9,električno,"1","0","1",./0.png
"31",JR-3-11,električno,"1","0","1",./0.png
"32",JR-3-10,električno,"1","0","1",./0.png
"33",JR-3-8,električno,"1","0","1",./0.png
"34",JR-3-12,električno,"1","0","1",./0.png
"35",JR-3-13,električno,"1","0","1",./0.png
"36",JR-3-14,električno,"1","0","1",./0.png
"37",JR-1-1,električno,"1","0","2",./0.png
"38",JR-1-2,električno,"1","0","2",./0.png
"39",JR-1-5,električno,"1","0","2",./0.png
"40",JR-1-10,električno,"1","0","2",./0.png
"41",JR-1-6,električno,"1","0","2",./0.png
"42",JR-1-7,električno,"1","0","2",./0.png
"43",JR-1-4,električno,"1","0","2",./0.png
"44",JR-1-3,električno,"1","0","2",./0.png
"45",JR-3-5,električno,"1","0","1",./0.png
"46",JR-3-7,električno,"1","0","1",./0.png
"47",JR-3-15,električno,"1","0","1",./0.png
"48",JR-3-17,električno,"1","0","3",./0.png
"49",JR-3-18,električno,"1","0","1",./0.png
"50",JR-3-19,električno,"1","0","1",./0.png
"51",JR-3-20,električno,"1","0","1",./0.png
"52",JR-3-23,električno,"1","0","1",./0.png
"53",JR-3-22,električno,"1","0","1",./0.png
"54",JR-3-21,električno,"1","0","3",./0.png
"55",JR-3-23,električno,"1","0","1",./0.png
"56",JR-4-20,električno,"1","0","1",./0.png
"57",JR-3-16,električno,"1","0","3",./0.png
"58",JR-4-10,električno,"1","0","1",./0.png
"59",JR-4-8,električno,"1","0","1",./0.png
"60",JR-4-6,električno,"1","0","3",./0.png
"61",JR-4-5,električno,"1","0","3",./0.png
"62",JR-4-4,električno,"1","0","3",./0.png
"63",JR-4-2,električno,"1","0","3",./0.png
"64",JR-5-1,električno,"1","0","3",./0.png
"65",JR-5-4,električno,"1","0","3",./0.png
"66",JR-5-6,električno,"1","0","3",./0.png
"67",JR-5-7,električno,"1","0","2",./0.png
"68",JR-7-1,električno,"1","0","2",./0.png
"69",JR-7-2,električno,"1","0","2",./0.png
"70",JR-8-1,električno,"1","0","3",./0.png
"71",JR-7-3,električno,"1","0","2",./0.png
"72",JR-4-9,električno,"1","0","1",./0.png
"73",JR-4-7,električno,"1","0","3",./0.png
"74",JR-4-3,električno,"1","0","3",./0.png
"75",JR-4-1,električno,"1","0","3",./0.png
"76",JR-5-2,električno,"1","0","3",./0.png
"77",JR-5-3,električno,"1","0","3",./0.png
"78",JR-5-5,električno,"1","0","3",./0.png
"79",JR-5-8,električno,"1","0","3",./0.png
"80",JR-5-10,električno,"1","0","3",./0.png
"81",JR-5-11,električno,"1","0","3",./0.png
"82",JR-5-9,električno,"1","0","3",./0.png
"83",JR-4-19,električno,"1","0","1",./0.png
"84",JR-4-18,električno,"1","0","1",./0.png
"85",JR-4-17,električno,"1","0","1",./0.png
"86",JR-4-16,električno,"1","0","1",./0.png
"87",JR-4-15,električno,"1","0","1",./0.png
"88",JR-4-14,električno,"1","0","1",./0.png
"89",JR-4-13,električno,"1","0","1",./0.png
"90",JR-4-12,električno,"1","0","1",./0.png
"91",JR-4-11,električno,"1","0","1",./0.png
"92",JR-6-1,električno,"1","0","3",./0.png
"95",,električno,"1","0",,./0.png
"96",,solarno,"1","0",,./1.png
"97",,solarno,"1","0",,./1.png
"99",,električno,"1","0","3",./0.png
"100",,električno,"1","0","3",./0.png
"104",,solarno,"1","0","3",./1.png
"105",,solarno,"1","0","3",./1.png
"106",,solarno,"1","0",,./1.png
"109",,solarno,"1","0",,./1.png
"110",,električno,"1","0","3",./0.png
"115",,solarno,"1","0","3",./1.png
"117",,električno,"1","0",,./0.png
"118",,električno,"1","0","3",./0.png
"119",,električno,"1","0","3",./0.png
"120",,električno,"1","0","3",./0.png
"121",,električno,"1","0","3",./0.png
"122",,električno,"1","0",,./0.png
"123",,električno,"1","0",,./0.png
"124",,električno,"1","0",,./0.png
"125",,električno,"1","0",,./0.png
"128",,električno,"1","0","2",./0.png
"129",,električno,"1","0",,./0.png
"130",,električno,"1","0",,./0.png
"131",,električno,"1","0","3",./0.png
"132",,električno,"1","0",,./0.png
"134",,električno,"1","0","3",./0.png
"135",,električno,"1","0",,./0.png
"136",,električno,"1","0",,./0.png
"141",,električno,"1","0","3",./0.png
"154",,električno,"1","0","3",./0.png
"155",,električno,"1","0","3",./0.png
"156",,električno,"1","0","3",./0.png
"157",,električno,"1","0","3",./0.png
"158",,električno,"1","0","3",./0.png
"159",,električno,"1","0","3",./0.png
"160",,električno,"1","0","3",./0.png
"161",,električno,"1","0","3",./0.png
"162",,električno,"1","0","3",./0.png
"163",,električno,"1","0","3",./0.png
"164",,električno,"1","0","3",./0.png
"165",,električno,"1","0","3",./0.png
"166",,električno,"1","0","3",./0.png
"167",,električno,"1","0","3",./0.png
"168",,električno,"1","0","3",./0.png
